="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"3","2005","1980","0","8.029879","7.932542","8.126551","516","254","262"
"4","2005","1980","0","7.874261","7.464085","8.281638","506","239","267"
"5","2005","1980","0","8.948024","8.900687","8.995037","575","285","290"
"6","2005","1980","0","8.341114","8.46346","8.219603","536","271","265"
"7","2005","1980","0","8.9169","8.494691","9.336228","573","272","301"
"8","2005","1980","0","8.434485","7.838851","9.026055","542","251","291"
"9","2005","1980","0","8.807968","9.1193","8.498759","566","292","274"
"10","2005","1980","0","8.714597","8.931918","8.498759","560","286","274"
"11","2005","1980","0","7.625272","7.713929","7.537221","490","247","243"
"12","2005","1980","0","8.029879","8.46346","7.599256","516","271","245"
"1","2005","1981","0","9.123146","9.836612","8.455538","566","295","271"
"2","2005","1981","0","7.656351","8.102701","7.23869","475","243","232"
"3","2005","1981","0","7.978723","7.935979","8.018721","495","238","257"
"4","2005","1981","0","8.13991","8.236079","8.049922","505","247","258"
"5","2005","1981","0","8.172147","8.069356","8.268331","507","242","265"
"6","2005","1981","0","8.542876","9.036345","8.081123","530","271","259"
"7","2005","1981","0","9.300451","8.669557","9.890796","577","260","317"
"8","2005","1981","0","8.768536","8.936312","8.611544","544","268","276"
"9","2005","1981","0","8.381689","8.569523","8.205928","520","257","263"
"10","2005","1981","0","8.752418","7.969323","9.485179","543","239","304"
"11","2005","1981","0","7.607995","7.402467","7.800312","472","222","250"
"12","2005","1981","0","7.575758","7.235745","7.893916","470","217","253"
"1","2005","1982","0","8.210726","7.766677","8.638906","519","241","278"
"2","2005","1982","0","8.131625","8.024492","8.234929","514","249","265"
"3","2005","1982","0","8.43221","8.346761","8.514605","533","259","274"
"4","2005","1982","0","8.194906","8.636803","7.7688","518","268","250"
"5","2005","1982","0","8.384749","8.475669","8.297079","530","263","267"
"6","2005","1982","0","8.258187","7.895585","8.607831","522","245","277"
"7","2005","1982","0","8.463851","8.507896","8.42138","535","264","271"
"8","2005","1982","0","9.033381","9.216887","8.856433","571","286","285"
"9","2005","1982","0","8.511312","8.797937","8.234929","538","273","265"
"10","2005","1982","0","8.653694","9.055752","8.266004","547","281","266"
"11","2005","1982","0","7.84686","7.63777","8.048477","496","237","259"
"12","2005","1982","0","7.8785","7.63777","8.110628","498","237","261"
"1","2005","1983","0","8.259876","7.972441","8.544509","506","243","263"
"2","2005","1983","0","8.096637","8.497375","7.699805","496","259","237"
"3","2005","1983","0","8.259876","7.545932","8.966862","506","230","276"
"4","2005","1983","0","8.635325","8.858268","8.414555","529","270","259"
"5","2005","1983","0","8.602677","8.694226","8.512021","527","265","262"
"6","2005","1983","0","8.096637","8.070866","8.122157","496","246","250"
"7","2005","1983","0","8.210904","8.038058","8.382066","503","245","258"
"8","2005","1983","0","8.814887","9.284777","8.349578","540","283","257"
"9","2005","1983","0","8.78224","8.136483","9.421702","538","248","290"
"10","2005","1983","0","8.70062","8.858268","8.544509","533","270","263"
"11","2005","1983","0","7.639569","7.513123","7.764782","468","229","239"
"12","2005","1983","0","7.900751","8.530184","7.277453","484","260","224"
"1","2005","1984","0","8.363163","8.9484","7.782101","514","274","240"
"2","2005","1984","0","8.037748","7.838014","8.236057","494","240","254"
"3","2005","1984","0","8.704849","8.295232","9.111543","535","254","281"
"4","2005","1984","0","8.460788","8.425865","8.49546","520","258","262"
"5","2005","1984","0","8.623495","8.687133","8.560311","530","266","264"
"6","2005","1984","0","8.037748","8.589157","7.490272","494","263","231"
"7","2005","1984","0","9.241783","8.915741","9.565499","568","273","295"
"8","2005","1984","0","7.875041","8.621816","7.133593","484","264","220"
"9","2005","1984","0","8.184185","8.001306","8.365759","503","245","258"
"10","2005","1984","0","8.135373","7.674722","8.592737","500","235","265"
"11","2005","1984","0","8.346892","8.197257","8.49546","513","251","262"
"12","2005","1984","0","7.988936","7.805356","8.171206","491","239","252"
"1","2005","1985","0","8.222148","8.52122","7.919463","493","257","236"
"2","2005","1985","0","8.422282","8.322281","8.52349","505","251","254"
"3","2005","1985","0","8.539026","8.355438","8.724832","512","252","260"
"4","2005","1985","0","8.105404","8.819629","7.38255","486","266","220"
"5","2005","1985","0","9.156104","9.383289","8.926174","549","283","266"
"6","2005","1985","0","7.655103","7.824934","7.483221","459","236","223"
"7","2005","1985","0","9.172782","9.316976","9.026846","550","281","269"
"8","2005","1985","0","8.739159","8.189655","9.295302","524","247","277"
"9","2005","1985","0","8.305537","7.924403","8.691275","498","239","259"
"10","2005","1985","0","8.639093","8.554377","8.724832","518","258","260"
"11","2005","1985","0","7.655103","7.990716","7.315436","459","241","218"
"12","2005","1985","0","7.388259","6.797082","7.986577","443","205","238"
"1","2005","1986","0","8.139729","8.084535","8.194537","487","241","246"
"2","2005","1986","0","8.089587","7.950352","8.227848","484","237","247"
"3","2005","1986","0","8.64115","7.547803","9.726849","517","225","292"
"4","2005","1986","0","8.574294","8.889634","8.261159","513","265","248"
"5","2005","1986","0","8.407154","8.822543","7.99467","503","263","240"
"6","2005","1986","0","8.340298","8.788997","7.894737","499","262","237"
"7","2005","1986","0","8.072873","7.749077","8.394404","483","231","252"
"8","2005","1986","0","8.64115","8.956726","8.327781","517","267","250"
"9","2005","1986","0","9.175999","8.956726","9.393738","549","267","282"
"10","2005","1986","0","8.123015","8.05099","8.194537","486","240","246"
"11","2005","1986","0","7.43774","7.749077","7.128581","445","231","214"
"12","2005","1986","0","8.357012","8.453539","8.261159","500","252","248"
"1","2005","1987","0","8.782104","9.070513","8.473413","530","283","247"
"2","2005","1987","0","7.589064","7.371795","7.821612","458","230","228"
"3","2005","1987","0","7.970174","7.275641","8.713551","481","227","254"
"4","2005","1987","0","7.075394","7.019231","7.135506","427","219","208"
"5","2005","1987","0","8.301574","8.557692","8.027444","501","267","234"
"6","2005","1987","0","8.782104","8.301282","9.296741","530","259","271"
"7","2005","1987","0","8.815244","8.75","8.885077","532","273","259"
"8","2005","1987","0","8.831814","9.038462","8.610635","533","282","251"
"9","2005","1987","0","9.096935","9.230769","8.953688","549","288","261"
"10","2005","1987","0","8.235294","8.557692","7.890223","497","267","230"
"11","2005","1987","0","7.821044","8.141026","7.478559","472","254","218"
"12","2005","1987","0","8.699254","8.685897","8.713551","525","271","254"
"1","2005","1988","0","8.44349","7.702265","9.216745","511","238","273"
"2","2005","1988","0","8.393919","8.867314","7.900068","508","274","234"
"3","2005","1988","0","8.8731","8.802589","8.946658","537","272","265"
"4","2005","1988","0","7.534699","7.184466","7.900068","456","222","234"
"5","2005","1988","0","8.674818","8.511327","8.845375","525","263","262"
"6","2005","1988","0","8.245208","7.89644","8.609048","499","244","255"
"7","2005","1988","0","9.104428","8.867314","9.351789","551","274","277"
"8","2005","1988","0","8.707865","9.288026","8.102633","527","287","240"
"9","2005","1988","0","8.393919","8.414239","8.372721","508","260","248"
"10","2005","1988","0","7.848645","8.349515","7.326131","475","258","217"
"11","2005","1988","0","8.245208","8.673139","7.798785","499","268","231"
"12","2005","1988","0","7.534699","7.443366","7.62998","456","230","226"
"1","2005","1989","0","8.363105","8.661168","8.050566","515","273","242"
"2","2005","1989","0","7.810978","7.899746","7.717898","481","249","232"
"3","2005","1989","0","7.924651","7.963198","7.884232","488","251","237"
"4","2005","1989","0","8.363105","8.217005","8.516301","515","259","256"
"5","2005","1989","0","8.704125","9.073604","8.3167","536","286","250"
"6","2005","1989","0","8.655408","8.851523","8.449767","533","279","254"
"7","2005","1989","0","8.687886","8.439086","8.948769","535","266","269"
"8","2005","1989","0","9.093862","8.661168","9.547572","560","273","287"
"9","2005","1989","0","8.460539","8.02665","8.915502","521","253","268"
"10","2005","1989","0","7.892173","8.343909","7.418496","486","263","223"
"11","2005","1989","0","7.843456","7.709391","7.984032","483","243","240"
"12","2005","1989","0","8.200715","8.153553","8.250166","505","257","248"
"1","2005","1990","0","8.349609","8.661168","8.02139","513","273","240"
"2","2005","1990","0","7.73112","7.392132","8.088235","475","233","242"
"3","2005","1990","0","8.691406","8.343909","9.057487","534","263","271"
"4","2005","1990","0","8.186849","7.899746","8.489305","503","249","254"
"5","2005","1990","0","8.723958","8.692893","8.756684","536","274","262"
"6","2005","1990","0","7.356771","7.296954","7.419786","452","230","222"
"7","2005","1990","0","9.488932","9.676396","9.291444","583","305","278"
"8","2005","1990","0","8.691406","9.137056","8.221925","534","288","246"
"9","2005","1990","0","8.821615","9.168782","8.455882","542","289","253"
"10","2005","1990","0","8.138021","7.899746","8.389037","500","249","251"
"11","2005","1990","0","7.861328","8.090102","7.620321","483","255","228"
"12","2005","1990","0","7.958984","7.741117","8.188503","489","244","245"
"1","2005","1991","0","8.902027","8.166612","9.683037","527","249","278"
"2","2005","1991","0","8.057432","8.297803","7.80216","477","253","224"
"3","2005","1991","0","8.952703","8.166612","9.78753","530","249","281"
"4","2005","1991","0","8.648649","9.216136","8.045977","512","281","231"
"5","2005","1991","0","8.986486","9.57691","8.359457","532","292","240"
"6","2005","1991","0","8.023649","8.002624","8.045977","475","244","231"
"7","2005","1991","0","8.496622","8.592981","8.394288","503","262","241"
"8","2005","1991","0","8.158784","8.756969","7.523511","483","267","216"
"9","2005","1991","0","8.699324","8.527386","8.881923","515","260","255"
"10","2005","1991","0","8.091216","8.133814","8.045977","479","248","231"
"11","2005","1991","0","7.516892","7.149885","7.906653","445","218","227"
"12","2005","1991","0","7.466216","7.412266","7.523511","442","226","216"
"1","2005","1992","0","8.410741","8.217405","8.621908","498","254","244"
"2","2005","1992","0","8.528965","8.767389","8.268551","505","271","234"
"3","2005","1992","0","8.61341","8.411517","8.833922","510","260","250"
"4","2005","1992","0","8.61341","8.799741","8.409894","510","272","238"
"5","2005","1992","0","7.937848","7.440958","8.480565","470","230","240"
"6","2005","1992","0","8.25874","8.055645","8.480565","489","249","240"
"7","2005","1992","0","8.495187","8.993853","7.95053","503","278","225"
"8","2005","1992","0","8.7823","8.864445","8.69258","520","274","246"
"9","2005","1992","0","8.816078","8.346813","9.328622","522","258","264"
"10","2005","1992","0","7.718291","7.958589","7.45583","457","246","211"
"11","2005","1992","0","7.819625","7.538014","8.127208","463","233","230"
"12","2005","1992","0","8.005404","8.605629","7.349823","474","266","208"
"1","2005","1993","0","8.264896","8.851351","7.636627","473","262","211"
"2","2005","1993","0","8.614363","8.378378","8.867173","493","248","245"
"3","2005","1993","0","8.91141","8.648649","9.192906","510","256","254"
"4","2005","1993","0","7.688275","7.702703","7.672819","440","228","212"
"5","2005","1993","0","8.299843","8.412162","8.179515","475","249","226"
"6","2005","1993","0","8.457103","8.648649","8.2519","484","256","228"
"7","2005","1993","0","9.610344","9.391892","9.844372","550","278","272"
"8","2005","1993","0","8.43963","8.277027","8.613826","483","245","238"
"9","2005","1993","0","8.666783","8.648649","8.686211","496","256","240"
"10","2005","1993","0","7.828062","7.905405","7.745204","448","234","214"
"11","2005","1993","0","7.583435","7.162162","8.034745","434","212","222"
"12","2005","1993","0","7.635855","7.972973","7.274701","437","236","201"
"1","2005","1994","0","8.50334","8.661146","8.330178","471","251","220"
"2","2005","1994","0","7.835349","8.109041","7.535025","434","235","199"
"3","2005","1994","0","8.413071","8.350587","8.481636","466","242","224"
"4","2005","1994","0","8.322802","8.21256","8.443771","461","238","223"
"5","2005","1994","0","8.665824","8.178054","9.20106","480","237","243"
"6","2005","1994","0","8.557501","8.626639","8.481636","474","250","224"
"7","2005","1994","0","9.063008","9.282264","8.822416","502","269","233"
"8","2005","1994","0","8.774147","8.971705","8.557365","486","260","226"
"9","2005","1994","0","8.64777","8.247067","9.087467","479","239","240"
"10","2005","1994","0","7.997834","8.074534","7.913669","443","234","209"
"11","2005","1994","0","7.997834","8.005521","7.989398","443","232","211"
"12","2005","1994","0","7.22152","7.280883","7.15638","400","211","189"
"1","2005","1995","0","8.26095","7.908799","8.640553","447","222","225"
"2","2005","1995","0","7.706524","8.336302","7.02765","417","234","183"
"3","2005","1995","0","8.002218","8.229426","7.757296","433","231","202"
"4","2005","1995","0","7.761966","7.837549","7.680492","420","220","200"
"5","2005","1995","0","8.556644","8.977556","8.102919","463","252","211"
"6","2005","1995","0","8.020699","8.443178","7.565284","434","237","197"
"7","2005","1995","0","9.499168","9.369434","9.639017","514","263","251"
"8","2005","1995","0","9.258917","8.87068","9.677419","501","249","252"
